,cost,id,localized_name,name,recipe,url_image,upgrade1,upgrade2
1,2250,1,Blink Dagger,item_blink,0,http://cdn.dota2.com/apps/dota2/images/items/blink_lg.png,0,0
2,420,2,Blades of Attack,item_blades_of_attack,0,http://cdn.dota2.com/apps/dota2/images/items/blades_of_attack_lg.png,0,0
3,1200,3,Broadsword,item_broadsword,0,http://cdn.dota2.com/apps/dota2/images/items/broadsword_lg.png,0,0
4,550,4,Chainmail,item_chainmail,0,http://cdn.dota2.com/apps/dota2/images/items/chainmail_lg.png,0,0
5,1400,5,Claymore,item_claymore,0,http://cdn.dota2.com/apps/dota2/images/items/claymore_lg.png,0,0
6,900,6,Helm of Iron Will,item_helm_of_iron_will,0,http://cdn.dota2.com/apps/dota2/images/items/helm_of_iron_will_lg.png,0,0
7,1500,7,Javelin,item_javelin,0,http://cdn.dota2.com/apps/dota2/images/items/javelin_lg.png,0,0
8,1600,8,Mithril Hammer,item_mithril_hammer,0,http://cdn.dota2.com/apps/dota2/images/items/mithril_hammer_lg.png,0,0
9,1400,9,Platemail,item_platemail,0,http://cdn.dota2.com/apps/dota2/images/items/platemail_lg.png,0,0
10,875,10,Quarterstaff,item_quarterstaff,0,http://cdn.dota2.com/apps/dota2/images/items/quarterstaff_lg.png,0,0
11,200,11,Quelling Blade,item_quelling_blade,0,http://cdn.dota2.com/apps/dota2/images/items/quelling_blade_lg.png,0,0
237,75,237,Faerie Fire,item_faerie_fire,0,http://cdn.dota2.com/apps/dota2/images/items/faerie_fire_lg.png,0,0
12,175,12,Ring of Protection,item_ring_of_protection,0,http://cdn.dota2.com/apps/dota2/images/items/ring_of_protection_lg.png,0,0
182,200,182,Stout Shield,item_stout_shield,0,http://cdn.dota2.com/apps/dota2/images/items/stout_shield_lg.png,0,0
246,0,246,Recipe: Moon Shard,item_recipe_moon_shard,1,http://cdn.dota2.com/apps/dota2/images/items/recipe_moon_shard_lg.png,0,0
247,4000,247,Moon Shard,item_moon_shard,0,http://cdn.dota2.com/apps/dota2/images/items/moon_shard_lg.png,55,0
13,150,13,Gauntlets of Strength,item_gauntlets,0,http://cdn.dota2.com/apps/dota2/images/items/gauntlets_lg.png,0,0
14,150,14,Slippers of Agility,item_slippers,0,http://cdn.dota2.com/apps/dota2/images/items/slippers_lg.png,0,0
15,150,15,Mantle of Intelligence,item_mantle,0,http://cdn.dota2.com/apps/dota2/images/items/mantle_lg.png,0,0
16,50,16,Iron Branch,item_branches,0,http://cdn.dota2.com/apps/dota2/images/items/branches_lg.png,0,0
17,450,17,Belt of Strength,item_belt_of_strength,0,http://cdn.dota2.com/apps/dota2/images/items/belt_of_strength_lg.png,0,0
18,450,18,Band of Elvenskin,item_boots_of_elves,0,http://cdn.dota2.com/apps/dota2/images/items/boots_of_elves_lg.png,0,0
19,450,19,Robe of the Magi,item_robe,0,http://cdn.dota2.com/apps/dota2/images/items/robe_lg.png,0,0
20,165,20,Circlet,item_circlet,0,http://cdn.dota2.com/apps/dota2/images/items/circlet_lg.png,0,0
21,1000,21,Ogre Club,item_ogre_axe,0,http://cdn.dota2.com/apps/dota2/images/items/ogre_axe_lg.png,0,0
22,1000,22,Blade of Alacrity,item_blade_of_alacrity,0,http://cdn.dota2.com/apps/dota2/images/items/blade_of_alacrity_lg.png,0,0
23,1000,23,Staff of Wizardry,item_staff_of_wizardry,0,http://cdn.dota2.com/apps/dota2/images/items/staff_of_wizardry_lg.png,0,0
24,2100,24,Ultimate Orb,item_ultimate_orb,0,http://cdn.dota2.com/apps/dota2/images/items/ultimate_orb_lg.png,0,0
25,500,25,Gloves of Haste,item_gloves,0,http://cdn.dota2.com/apps/dota2/images/items/gloves_lg.png,0,0
26,900,26,Morbid Mask,item_lifesteal,0,http://cdn.dota2.com/apps/dota2/images/items/lifesteal_lg.png,0,0
27,350,27,Ring of Regen,item_ring_of_regen,0,http://cdn.dota2.com/apps/dota2/images/items/ring_of_regen_lg.png,0,0
28,325,28,Sage's Mask,item_sobi_mask,0,http://cdn.dota2.com/apps/dota2/images/items/sobi_mask_lg.png,0,0
29,400,29,Boots of Speed,item_boots,0,http://cdn.dota2.com/apps/dota2/images/items/boots_lg.png,0,0
30,900,30,Gem of True Sight,item_gem,0,http://cdn.dota2.com/apps/dota2/images/items/gem_lg.png,0,0
31,550,31,Cloak,item_cloak,0,http://cdn.dota2.com/apps/dota2/images/items/cloak_lg.png,0,0
32,1800,32,Talisman of Evasion,item_talisman_of_evasion,0,http://cdn.dota2.com/apps/dota2/images/items/talisman_of_evasion_lg.png,0,0
33,1000,33,Cheese,item_cheese,0,http://cdn.dota2.com/apps/dota2/images/items/cheese_lg.png,0,0
34,200,34,Magic Stick,item_magic_stick,0,http://cdn.dota2.com/apps/dota2/images/items/magic_stick_lg.png,0,0
35,0,35,Recipe: Magic Wand,item_recipe_magic_wand,1,http://cdn.dota2.com/apps/dota2/images/items/recipe_magic_wand_lg.png,0,0
36,465,36,Magic Wand,item_magic_wand,0,http://cdn.dota2.com/apps/dota2/images/items/magic_wand_lg.png,0,0
37,1500,37,Ghost Scepter,item_ghost,0,http://cdn.dota2.com/apps/dota2/images/items/ghost_lg.png,0,0
38,50,38,Clarity,item_clarity,0,http://cdn.dota2.com/apps/dota2/images/items/clarity_lg.png,0,0
216,125,216,Enchanted Mango,item_enchanted_mango,0,http://cdn.dota2.com/apps/dota2/images/items/enchanted_mango_lg.png,0,0
39,110,39,Healing Salve,item_flask,0,http://cdn.dota2.com/apps/dota2/images/items/flask_lg.png,0,0
